# experiment=tt_sweep engine=helix-f3270d5 date=20260808-012157
# suite=tests/data/stockfish-bench-all.epd budget_ms=1000 reps=3 mb=1,4,16,64,256 entry_bytes=32 positions=309
fen_id,tt_mb,rep,completed_depth,seldepth,nodes,qnodes,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
86,1,0,9,18,1468416,737029,421762,52659,143639,95498,0.1249,949,c6a4,hard_time
86,1,1,9,18,1466368,735957,421172,52631,143430,95299,0.1250,949,c6a4,hard_time
86,1,2,9,18,1467392,736506,421453,52642,143515,95380,0.1249,950,c6a4,hard_time
87,1,0,9,17,1542144,767366,406858,54401,146694,100133,0.1337,950,a3a2,hard_time
87,1,1,9,17,1564672,777712,410137,54987,148347,101715,0.1341,950,a3a2,hard_time
87,1,2,9,17,1546240,769370,407446,54425,146970,100401,0.1336,950,a3a2,hard_time
88,1,0,9,17,1397469,689363,388439,46085,141584,97422,0.1186,895,c6a4,soft_time
88,1,1,9,17,1397469,689363,388439,46085,141584,97422,0.1186,887,c6a4,soft_time
88,1,2,9,17,1397469,689363,388439,46085,141584,97422,0.1186,896,c6a4,soft_time
89,1,0,10,17,1595994,789395,388545,54957,143698,99549,0.1414,920,c7b8,soft_time
89,1,1,10,17,1595994,789395,388545,54957,143698,99549,0.1414,921,c7b8,soft_time
89,1,2,10,17,1595994,789395,388545,54957,143698,99549,0.1414,919,c7b8,soft_time
90,1,0,9,17,1473536,739928,474405,71545,149802,99227,0.1508,949,g7g6,hard_time
90,1,1,9,17,1485824,745820,476500,71746,150700,100086,0.1506,950,g7g6,hard_time
90,1,2,9,17,1490944,748233,477096,71846,151020,100388,0.1506,949,g7g6,hard_time
